index,x,y,progress
88,3.935000e+02,6.255000e+02,1.808565e-09
89,3.945000e+02,6.255000e+02,1.822440e-09
90,3.955000e+02,6.255000e+02,1.837151e-09
91,3.965000e+02,6.255000e+02,1.856222e-09
92,3.975000e+02,6.255000e+02,1.885477e-09
93,4.075000e+02,6.255000e+02,3.869046e-09
94,4.085000e+02,6.255000e+02,3.934821e-09
95,4.095000e+02,6.255000e+02,3.971762e-09
96,4.105000e+02,6.255000e+02,3.995404e-09
97,4.115000e+02,6.255000e+02,4.013511e-09
98,4.125000e+02,6.255000e+02,4.028804e-09
99,4.135000e+02,6.255000e+02,4.042010e-09
100,3.895000e+02,6.245000e+02,1.710539e-09
101,3.905000e+02,6.245000e+02,1.754466e-09
102,3.915000e+02,6.245000e+02,1.781628e-09
103,3.925000e+02,6.245000e+02,1.800793e-09
104,3.935000e+02,6.245000e+02,1.816090e-09
105,3.945000e+02,6.245000e+02,1.829799e-09
106,3.955000e+02,6.245000e+02,1.844366e-09
107,4.075000e+02,6.245000e+02,3.900480e-09
108,4.085000e+02,6.245000e+02,3.967358e-09
109,4.095000e+02,6.245000e+02,4.006153e-09
110,4.125000e+02,6.245000e+02,4.062429e-09
111,4.135000e+02,6.245000e+02,4.073893e-09
112,3.885000e+02,6.235000e+02,1.655194e-09
113,3.895000e+02,6.235000e+02,1.723429e-09
114,3.905000e+02,6.235000e+02,1.764245e-09
115,3.915000e+02,6.235000e+02,1.790660e-09
116,3.925000e+02,6.235000e+02,1.809865e-09
117,3.935000e+02,6.235000e+02,1.825364e-09
118,3.945000e+02,6.235000e+02,1.839443e-09
119,3.955000e+02,6.235000e+02,1.854571e-09
120,3.965000e+02,6.235000e+02,1.874647e-09
121,3.975000e+02,6.235000e+02,1.905124e-09
122,4.105000e+02,6.235000e+02,4.074326e-09
123,4.115000e+02,6.235000e+02,4.090282e-09
124,4.125000e+02,6.235000e+02,4.101440e-09
125,3.885000e+02,6.225000e+02,1.675213e-09
126,3.895000e+02,6.225000e+02,1.736529e-09
127,3.905000e+02,6.225000e+02,1.775014e-09
128,3.915000e+02,6.225000e+02,1.801184e-09
129,3.925000e+02,6.225000e+02,1.820808e-09
130,3.935000e+02,6.225000e+02,1.837058e-09
131,3.945000e+02,6.225000e+02,1.852088e-09
132,3.955000e+02,6.225000e+02,1.868575e-09
133,4.105000e+02,6.225000e+02,4.120285e-09
134,4.115000e+02,6.225000e+02,4.134021e-09
135,4.125000e+02,6.225000e+02,4.144382e-09
136,4.135000e+02,6.225000e+02,4.155790e-09
137,3.875000e+02,6.215000e+02,1.599703e-09
138,3.885000e+02,6.215000e+02,1.694408e-09
139,3.895000e+02,6.215000e+02,1.750870e-09
140,3.905000e+02,6.215000e+02,1.788139e-09
141,3.915000e+02,6.215000e+02,1.814411e-09
142,3.925000e+02,6.215000e+02,1.834660e-09
143,3.935000e+02,6.215000e+02,1.852012e-09
144,3.945000e+02,6.215000e+02,1.868579e-09
145,3.955000e+02,6.215000e+02,1.887256e-09
146,3.965000e+02,6.215000e+02,1.912360e-09
147,4.085000e+02,6.215000e+02,4.105626e-09
148,4.095000e+02,6.215000e+02,4.146259e-09
149,4.105000e+02,6.215000e+02,4.168618e-09
150,4.115000e+02,6.215000e+02,4.183077e-09
151,4.125000e+02,6.215000e+02,4.196076e-09
152,3.875000e+02,6.205000e+02,1.628340e-09
153,3.885000e+02,6.205000e+02,1.715938e-09
154,3.895000e+02,6.205000e+02,1.769550e-09
155,3.905000e+02,6.205000e+02,1.805932e-09
156,3.915000e+02,6.205000e+02,1.832011e-09
157,3.925000e+02,6.205000e+02,1.852732e-09
158,3.935000e+02,6.205000e+02,1.871464e-09
159,3.945000e+02,6.205000e+02,1.890288e-09
160,3.955000e+02,6.205000e+02,1.911837e-09
161,3.965000e+02,6.205000e+02,1.940272e-09
162,3.985000e+02,6.205000e+02,2.035052e-09
163,3.995000e+02,6.205000e+02,2.110108e-09
164,4.085000e+02,6.205000e+02,4.160677e-09
165,4.095000e+02,6.205000e+02,4.202943e-09
166,4.105000e+02,6.205000e+02,4.227925e-09
167,4.115000e+02,6.205000e+02,4.246094e-09
168,3.885000e+02,6.195000e+02,1.746058e-09
169,3.895000e+02,6.195000e+02,1.797096e-09
170,3.905000e+02,6.195000e+02,1.831478e-09
171,3.915000e+02,6.195000e+02,1.856603e-09
172,3.925000e+02,6.195000e+02,1.878009e-09
173,3.935000e+02,6.195000e+02,1.898913e-09
174,3.945000e+02,6.195000e+02,1.920725e-09
175,3.955000e+02,6.195000e+02,1.945064e-09
176,3.975000e+02,6.195000e+02,2.017027e-09
177,3.985000e+02,6.195000e+02,2.072632e-09
178,3.995000e+02,6.195000e+02,2.148028e-09
179,4.005000e+02,6.195000e+02,2.265722e-09
180,4.055000e+02,6.195000e+02,3.811241e-09
181,4.065000e+02,6.195000e+02,4.014319e-09
182,4.155000e+02,6.195000e+02,4.415321e-09
183,3.895000e+02,6.185000e+02,1.839869e-09
184,3.905000e+02,6.185000e+02,1.870598e-09
185,3.915000e+02,6.185000e+02,1.894610e-09
186,3.945000e+02,6.185000e+02,1.963955e-09
187,3.955000e+02,6.185000e+02,1.988957e-09
188,3.965000e+02,6.185000e+02,2.019246e-09
189,3.975000e+02,6.185000e+02,2.060905e-09
190,3.985000e+02,6.185000e+02,2.118727e-09
191,3.995000e+02,6.185000e+02,2.199971e-09
192,4.055000e+02,6.185000e+02,3.890059e-09
193,4.065000e+02,6.185000e+02,4.089857e-09
194,4.095000e+02,6.185000e+02,4.347767e-09
195,4.105000e+02,6.185000e+02,4.379449e-09
