i,x,y,voltage,flow,cover dropped,index,drop stage
95,437.436000,595.818000,6.946278e-02,0.012582, 444.779268,0.501377,15843,1 of 10 
96,436.446000,595.818000,6.945156e-02,0.016674, 444.779268,0.872360,15842,1 of 10 
97,435.456000,595.818000,6.944425e-02,0.014647, 444.779268,1.000000,15841,1 of 10 
98,609.696000,596.808000,2.220656e-01,0.001067, 444.779268,0.243343,15840,1 of 10 
99,608.706000,596.808000,2.220613e-01,0.000825, 444.779268,0.146006,15839,1 of 10 
100,607.716000,596.808000,2.220554e-01,0.003088, 444.779268,0.433425,15838,1 of 10 
101,605.736000,596.808000,2.220346e-01,0.000605, 444.779268,0.053260,15837,1 of 10 
102,604.746000,596.808000,2.220185e-01,0.001545, 444.779268,0.117539,15836,1 of 10 
103,603.756000,596.808000,2.220000e-01,0.005498, 444.779268,0.386593,15835,1 of 10 
104,602.766000,596.808000,2.219790e-01,0.005931, 444.779268,0.378329,15834,1 of 10 
105,601.776000,596.808000,2.219514e-01,0.000624, 444.779268,0.033058,15833,1 of 10 
106,600.786000,596.808000,2.219102e-01,0.001344, 444.779268,0.056933,15832,1 of 10 
107,599.796000,596.808000,2.218462e-01,0.002330, 444.779268,0.077135,15831,1 of 10 
108,598.806000,596.808000,2.217453e-01,0.001753, 444.779268,0.045914,15830,1 of 10 
109,588.906000,596.808000,2.158569e-01,0.002906, 444.779268,0.013774,15829,1 of 10 
110,586.926000,596.808000,2.145172e-01,0.003249, 444.779268,0.011019,15827,1 of 10 
111,585.936000,596.808000,2.136744e-01,0.023622, 444.779268,0.064279,15826,1 of 10 
112,584.946000,596.808000,2.126204e-01,0.014176, 444.779268,0.031221,15825,1 of 10 
113,583.956000,596.808000,2.113401e-01,0.011532, 444.779268,0.022039,15824,1 of 10 
114,578.016000,596.808000,2.050413e-01,0.021674, 444.779268,0.025712,15820,1 of 10 
115,485.946000,596.808000,7.912454e-02,0.008634, 444.779268,0.013774,15732,1 of 10 
116,451.296000,596.808000,7.147664e-02,0.024843, 444.779268,0.100092,15697,1 of 10 
117,445.356000,596.808000,7.023759e-02,0.007389, 444.779268,0.028466,15691,1 of 10 
118,442.386000,596.808000,6.965365e-02,0.024469, 444.779268,0.191919,15690,1 of 10 
119,437.436000,596.808000,6.945067e-02,0.017932, 444.779268,0.605142,15685,1 of 10 
120,436.446000,596.808000,6.944033e-02,0.015580, 444.779268,0.666667,15684,1 of 10 
121,435.456000,596.808000,6.943340e-02,0.018060, 444.779268,1.000000,15683,1 of 10 
122,606.726000,597.798000,2.220492e-01,0.004855, 444.779268,0.417815,15682,1 of 10 
123,605.736000,597.798000,2.220372e-01,0.002385, 444.779268,0.163453,15681,1 of 10 
124,604.746000,597.798000,2.220210e-01,0.000724, 444.779268,0.042241,15680,1 of 10 
125,603.756000,597.798000,2.220020e-01,0.010386, 444.779268,0.558310,15679,1 of 10 
126,602.766000,597.798000,2.219811e-01,0.014678, 444.779268,0.726354,15678,1 of 10 
127,601.776000,597.798000,2.219548e-01,0.000479, 444.779268,0.020202,15677,1 of 10 
128,600.786000,597.798000,2.219164e-01,0.000107, 444.779268,0.003673,15676,1 of 10 
129,599.796000,597.798000,2.218561e-01,0.000998, 444.779268,0.026630,15675,1 of 10 
130,589.896000,597.798000,2.168458e-01,0.002050, 444.779268,0.008264,15674,1 of 10 
131,587.916000,597.798000,2.154850e-01,0.028532, 444.779268,0.089991,15672,1 of 10 
132,586.926000,597.798000,2.148142e-01,0.017236, 444.779268,0.045914,15671,1 of 10 
133,585.936000,597.798000,2.140315e-01,0.033974, 444.779268,0.073462,15670,1 of 10 
134,580.986000,597.798000,2.080490e-01,0.035015, 444.779268,0.051423,15669,1 of 10 
135,574.056000,597.798000,2.015684e-01,0.003353, 444.779268,0.002755,15662,1 of 10 
136,453.276000,597.798000,7.173664e-02,0.022376, 444.779268,0.095500,15544,1 of 10 
137,452.286000,597.798000,7.157237e-02,0.021809, 444.779268,0.086318,15543,1 of 10 
138,450.306000,597.798000,7.117000e-02,0.005753, 444.779268,0.020202,15541,1 of 10 
139,443.376000,597.798000,6.970154e-02,0.024989, 444.779268,0.147842,15535,1 of 10 
140,437.436000,597.798000,6.943610e-02,0.034596, 444.779268,0.997245,15529,1 of 10 
141,436.446000,597.798000,6.942663e-02,0.020749, 444.779268,0.744720,15528,1 of 10 
142,435.456000,597.798000,6.942014e-02,0.021673, 444.779268,0.998163,15527,1 of 10 
143,605.736000,598.788000,2.220401e-01,0.004403, 444.779268,0.244261,15526,1 of 10 
144,604.746000,598.788000,2.220238e-01,0.005193, 444.779268,0.241506,15525,1 of 10 
145,603.756000,598.788000,2.220040e-01,0.010314, 444.779268,0.433425,15524,1 of 10 
146,602.766000,598.788000,2.219820e-01,0.018387, 444.779268,0.707989,15523,1 of 10 
147,601.776000,598.788000,2.219557e-01,0.013079, 444.779268,0.435262,15522,1 of 10 
148,600.786000,598.788000,2.219186e-01,0.008080, 444.779268,0.220386,15521,1 of 10 
149,591.876000,598.788000,2.187543e-01,0.019032, 444.779268,0.080808,15520,1 of 10 
150,587.916000,598.788000,2.157907e-01,0.033587, 444.779268,0.081726,15518,1 of 10 
151,583.956000,598.788000,2.122310e-01,0.002237, 444.779268,0.002755,15514,1 of 10 
152,507.726000,598.788000,1.160699e-01,0.003328, 444.779268,0.001837,15440,1 of 10 
153,491.886000,598.788000,8.564978e-02,0.001692, 444.779268,0.000918,15429,1 of 10 
