index,x,y,loss
139,1.494949e+00,1.404949e+02,0.000000e+00
140,4.949495e-01,1.404949e+02,0.000000e+00
141,-5.050505e-01,1.404949e+02,0.000000e+00
142,1.714949e+02,1.394949e+02,0.000000e+00
143,1.704949e+02,1.394949e+02,0.000000e+00
144,1.694949e+02,1.394949e+02,0.000000e+00
145,1.684949e+02,1.394949e+02,0.000000e+00
146,1.674949e+02,1.394949e+02,0.000000e+00
147,1.664949e+02,1.394949e+02,0.000000e+00
148,1.574949e+02,1.394949e+02,0.000000e+00
149,1.534949e+02,1.394949e+02,0.000000e+00
150,1.494949e+02,1.394949e+02,0.000000e+00
151,7.249495e+01,1.394949e+02,0.000000e+00
152,5.649495e+01,1.394949e+02,0.000000e+00
153,5.549495e+01,1.394949e+02,0.000000e+00
154,4.049495e+01,1.394949e+02,0.000000e+00
155,3.849495e+01,1.394949e+02,0.000000e+00
156,3.749495e+01,1.394949e+02,0.000000e+00
157,4.949495e-01,1.394949e+02,0.000000e+00
158,-5.050505e-01,1.394949e+02,0.000000e+00
159,1.714949e+02,1.384949e+02,0.000000e+00
160,1.704949e+02,1.384949e+02,0.000000e+00
161,1.694949e+02,1.384949e+02,0.000000e+00
162,1.684949e+02,1.384949e+02,0.000000e+00
163,1.674949e+02,1.384949e+02,0.000000e+00
164,1.664949e+02,1.384949e+02,0.000000e+00
165,1.654949e+02,1.384949e+02,0.000000e+00
166,1.584949e+02,1.384949e+02,0.000000e+00
167,1.574949e+02,1.384949e+02,0.000000e+00
168,1.564949e+02,1.384949e+02,0.000000e+00
169,5.849495e+01,1.384949e+02,0.000000e+00
170,5.549495e+01,1.384949e+02,0.000000e+00
171,3.749495e+01,1.384949e+02,0.000000e+00
172,3.649495e+01,1.384949e+02,0.000000e+00
173,1.649495e+01,1.384949e+02,0.000000e+00
174,1.349495e+01,1.384949e+02,0.000000e+00
175,1.249495e+01,1.384949e+02,0.000000e+00
176,1.149495e+01,1.384949e+02,0.000000e+00
177,-5.050505e-01,1.384949e+02,0.000000e+00
178,1.704949e+02,1.374949e+02,0.000000e+00
179,1.694949e+02,1.374949e+02,0.000000e+00
180,1.684949e+02,1.374949e+02,0.000000e+00
181,1.654949e+02,1.374949e+02,0.000000e+00
182,6.249495e+01,1.374949e+02,0.000000e+00
183,3.749495e+01,1.374949e+02,0.000000e+00
184,3.649495e+01,1.374949e+02,0.000000e+00
185,3.549495e+01,1.374949e+02,0.000000e+00
186,1.649495e+01,1.374949e+02,0.000000e+00
187,9.494949e+00,1.374949e+02,0.000000e+00
188,-5.050505e-01,1.374949e+02,0.000000e+00
189,1.714949e+02,1.364949e+02,0.000000e+00
190,1.704949e+02,1.364949e+02,0.000000e+00
191,1.684949e+02,1.364949e+02,0.000000e+00
192,1.404949e+02,1.364949e+02,0.000000e+00
193,6.349495e+01,1.364949e+02,0.000000e+00
194,3.949495e+01,1.364949e+02,0.000000e+00
195,2.249495e+01,1.364949e+02,0.000000e+00
196,1.949495e+01,1.364949e+02,0.000000e+00
197,1.849495e+01,1.364949e+02,0.000000e+00
198,1.349495e+01,1.364949e+02,0.000000e+00
199,1.714949e+02,1.354949e+02,0.000000e+00
200,1.644949e+02,1.354949e+02,0.000000e+00
201,1.624949e+02,1.354949e+02,0.000000e+00
202,1.474949e+02,1.354949e+02,0.000000e+00
203,1.449495e+01,1.354949e+02,0.000000e+00
204,-5.050505e-01,1.354949e+02,0.000000e+00
205,1.724949e+02,1.344949e+02,0.000000e+00
206,1.714949e+02,1.344949e+02,0.000000e+00
207,4.949495e-01,1.344949e+02,0.000000e+00
208,1.714949e+02,1.334949e+02,0.000000e+00
209,6.849495e+01,1.334949e+02,0.000000e+00
210,1.949495e+01,1.334949e+02,0.000000e+00
211,1.849495e+01,1.334949e+02,0.000000e+00
212,1.549495e+01,1.334949e+02,0.000000e+00
213,4.949495e-01,1.334949e+02,0.000000e+00
214,1.714949e+02,1.324949e+02,0.000000e+00
215,1.544949e+02,1.324949e+02,0.000000e+00
216,1.094949e+02,1.324949e+02,0.000000e+00
217,9.649495e+01,1.324949e+02,0.000000e+00
218,1.849495e+01,1.324949e+02,0.000000e+00
219,2.494949e+00,1.324949e+02,0.000000e+00
220,1.494949e+00,1.324949e+02,0.000000e+00
221,1.714949e+02,1.314949e+02,0.000000e+00
222,1.624949e+02,1.314949e+02,0.000000e+00
223,1.614949e+02,1.314949e+02,0.000000e+00
224,1.584949e+02,1.314949e+02,0.000000e+00
225,1.464949e+02,1.314949e+02,0.000000e+00
226,6.349495e+01,1.314949e+02,0.000000e+00
227,-5.050505e-01,1.314949e+02,0.000000e+00
228,1.624949e+02,1.304949e+02,0.000000e+00
229,1.614949e+02,1.304949e+02,0.000000e+00
230,1.594949e+02,1.304949e+02,0.000000e+00
231,1.534949e+02,1.304949e+02,0.000000e+00
232,1.104949e+02,1.304949e+02,0.000000e+00
233,1.624949e+02,1.294949e+02,0.000000e+00
234,7.049495e+01,1.294949e+02,0.000000e+00
235,6.549495e+01,1.294949e+02,0.000000e+00
236,2.449495e+01,1.294949e+02,0.000000e+00
237,1.104949e+02,1.284949e+02,0.000000e+00
238,2.549495e+01,1.284949e+02,0.000000e+00
239,1.774949e+02,1.274949e+02,0.000000e+00
240,1.544949e+02,1.274949e+02,0.000000e+00
241,1.084949e+02,1.274949e+02,0.000000e+00
242,1.784949e+02,1.264949e+02,0.000000e+00
243,1.654949e+02,1.264949e+02,0.000000e+00
244,8.849495e+01,1.264949e+02,0.000000e+00
245,1.464949e+02,1.254949e+02,0.000000e+00
246,6.849495e+01,1.254949e+02,0.000000e+00
247,6.449495e+01,1.254949e+02,0.000000e+00
248,1.124949e+02,1.244949e+02,0.000000e+00
249,1.034949e+02,1.244949e+02,0.000000e+00
250,1.024949e+02,1.244949e+02,0.000000e+00
251,1.004949e+02,1.244949e+02,0.000000e+00
252,1.134949e+02,1.214949e+02,0.000000e+00
253,1.114949e+02,1.214949e+02,0.000000e+00
254,7.149495e+01,1.214949e+02,0.000000e+00
255,1.144949e+02,1.204949e+02,0.000000e+00
256,4.949495e-01,1.204949e+02,0.000000e+00
257,1.314949e+02,1.184949e+02,0.000000e+00
258,1.154949e+02,1.184949e+02,0.000000e+00
259,7.149495e+01,1.174949e+02,0.000000e+00
260,6.349495e+01,1.174949e+02,0.000000e+00
261,1.774949e+02,1.164949e+02,0.000000e+00
262,1.764949e+02,1.164949e+02,0.000000e+00
263,1.754949e+02,1.164949e+02,0.000000e+00
264,1.164949e+02,1.164949e+02,0.000000e+00
265,1.084949e+02,1.164949e+02,0.000000e+00
266,7.249495e+01,1.164949e+02,0.000000e+00
267,1.774949e+02,1.154949e+02,0.000000e+00
268,1.764949e+02,1.154949e+02,0.000000e+00
269,1.754949e+02,1.154949e+02,0.000000e+00
270,1.744949e+02,1.154949e+02,0.000000e+00
271,1.734949e+02,1.154949e+02,0.000000e+00
272,1.694949e+02,1.154949e+02,0.000000e+00
273,1.184949e+02,1.154949e+02,0.000000e+00
274,9.449495e+01,1.154949e+02,0.000000e+00
275,8.149495e+01,1.154949e+02,0.000000e+00
276,1.774949e+02,1.144949e+02,0.000000e+00
277,1.764949e+02,1.144949e+02,0.000000e+00
278,1.684949e+02,1.144949e+02,0.000000e+00
279,1.674949e+02,1.144949e+02,0.000000e+00
280,1.034949e+02,1.144949e+02,0.000000e+00
281,1.024949e+02,1.144949e+02,0.000000e+00
282,4.949495e-01,1.144949e+02,0.000000e+00
283,1.744949e+02,1.134949e+02,0.000000e+00
284,1.664949e+02,1.134949e+02,0.000000e+00
